date,risk,growth,inflation,rates,liquidity,dollar,oil
2025-04-30,124.85457284171099,162.60002040817304,116.00694494452834,3.6,21775.6,26.50479507446289,63.560001373291016
2025-05-31,133.61861344395547,174.83748226022925,116.72075576446576,3.89,21833.9,26.543476104736328,67.1500015258789
2025-06-30,137.8329553230163,184.03933391997614,115.95843660047258,3.72,21938.8,25.992298126220703,73.11000061035156
2025-07-31,140.12281126568232,192.4695446608357,116.6618979201682,3.94,22020.0,26.978612899780273,79.58999633789062
2025-08-31,141.54212416563593,190.08690203638992,116.62080417826358,3.59,22087.0,26.46611785888672,74.83999633789062
2025-09-30,145.68498999436778,198.25466892837994,116.35494234108434,3.6,22170.3,26.60149383544922,73.75
2025-10-31,147.97323743704874,204.78284625260605,115.90575084555151,3.6,22245.1,27.27837562561035,72.55999755859375
2025-11-30,146.58752014842125,195.0714349607732,115.02078561059007,3.47,22277.5,27.27837562561035,71.06999969482422
2025-12-31,149.03072935735435,200.25235355493564,115.18550793491094,3.47,22353.6,27.030000686645508,69.16000366210938
2026-01-31,153.60590125764335,198.66487905754914,116.04840166620447,3.52,22429.3,26.850000381469727,79.5199966430664
2026-02-28,151.84019475898245,197.35354195910654,114.68621037296577,3.38,22627.3,27.079999923706055,81.94999694824219
2026-03-31,145.94369713831313,197.27981105755893,115.815233371578,3.79,22686.0,27.780000686645508,127.25
2026-04-30,160.0752043547541,207.06915773508962,117.25081485622071,3.88,,27.360000610351562,147.08999633789062
